testdate,expression,movement,quality,benchmarkpct,player_id
04/09/2023,isometric,upper body,grapple,99.6,10
14/09/2023,isometric,sprint,max velocity,95.7,22
07/10/2023,isometric,agility,deceleration,1.0395,10
09/10/2023,dynamic,agility,deceleration,0.871,22
20/10/2023,isometric,upper body,pull,93.1,10
23/10/2023,dynamic,agility,acceleration,0.4305,22
29/10/2023,isometric,jump,take off,94.3,7
08/11/2023,dynamic,upper body,pull,0.871,7
17/11/2023,isometric,agility,rotate,89.1,7
18/11/2023,isometric,upper body,pull,90.3,7
07/12/2023,dynamic,sprint,acceleration,0.43,22
09/12/2023,isometric,jump,pre-load,0.52,7
26/12/2023,dynamic,upper body,push,0.426,10
26/12/2023,dynamic,sprint,acceleration,0.426,7
06/01/2024,isometric,sprint,max velocity,84.5,7
13/01/2024,dynamic,agility,acceleration,0.43,7
17/01/2024,isometric,upper body,pull,90.4,22
06/02/2024,dynamic,upper body,pull,0.89,7
11/02/2024,isometric,agility,rotate,84.1,10
12/02/2024,isometric,sprint,acceleration,0.52,7
13/02/2024,dynamic,sprint,acceleration,0.4345,7
19/02/2024,dynamic,jump,land,0.668,7
19/02/2024,isometric,sprint,max velocity,100.1,10
01/03/2024,dynamic,upper body,pull,0.89,7
02/03/2024,dynamic,upper body,pull,0.89,10
09/03/2024,isometric,agility,acceleration,0.52,10
09/03/2024,dynamic,sprint,acceleration,0.4445,7
21/03/2024,isometric,jump,land,73.0,10
27/03/2024,isometric,sprint,max velocity,94.8,22
02/04/2024,dynamic,sprint,acceleration,0.44,7
17/04/2024,isometric,upper body,pull,93.4,7
10/05/2024,isometric,upper body,push,0.704,10
11/05/2024,isometric,jump,take off,92.5,10
12/05/2024,isometric,jump,pre-load,0.52,7
17/05/2024,dynamic,upper body,pull,0.876,22
19/05/2024,dynamic,agility,deceleration,0.876,10
24/05/2024,isometric,upper body,push,0.704,10
09/06/2024,dynamic,upper body,push,0.43,22
11/06/2024,dynamic,jump,land,0.723,22
26/06/2024,isometric,jump,take off,100.2,7
30/06/2024,isometric,jump,take off,87.1,22
23/07/2024,dynamic,agility,acceleration,0.485,7
24/07/2024,dynamic,upper body,pull,0.855,22
30/07/2024,dynamic,jump,land,0.652,10
20/08/2024,dynamic,upper body,push,0.428,7
30/08/2024,isometric,agility,rotate,0.6405,7
31/08/2024,isometric,sprint,max velocity,0.67,7
01/09/2024,isometric,agility,deceleration,0.95,22
05/09/2024,isometric,jump,take off,0.33,10
10/09/2024,isometric,upper body,grapple,0.6315,7
08/10/2024,dynamic,sprint,max velocity,0.67,7
25/10/2024,isometric,upper body,push,0.936,7
26/10/2024,isometric,sprint,acceleration,0.6935,7
04/11/2024,isometric,upper body,push,0.936,10
13/11/2024,dynamic,upper body,pull,0.88,22
14/11/2024,isometric,jump,pre-load,0.7515,10
18/11/2024,isometric,jump,land,0.39,7
19/11/2024,isometric,sprint,acceleration,0.799,10
01/12/2024,isometric,upper body,pull,92.6,7
08/12/2024,isometric,upper body,push,0.876,22
09/12/2024,isometric,agility,rotate,0.681,22
17/12/2024,isometric,sprint,acceleration,0.796,22
21/12/2024,isometric,jump,pre-load,0.796,7
21/12/2024,isometric,agility,acceleration,0.796,10
01/01/2025,dynamic,sprint,max velocity,0.6645,22
24/01/2025,dynamic,jump,take off,0.69,7
24/01/2025,isometric,agility,deceleration,0.952,7
03/02/2025,isometric,jump,pre-load,0.79,10
05/02/2025,dynamic,agility,deceleration,0.87,22
13/02/2025,dynamic,agility,acceleration,0.495,7
23/02/2025,isometric,jump,pre-load,0.79,10
25/02/2025,isometric,agility,deceleration,0.96,22
25/02/2025,isometric,agility,rotate,0.6385,10
05/07/2023,isometric,upper body,grapple,72.8,10
08/07/2023,isometric,agility,acceleration,85.8,7
10/07/2023,dynamic,upper body,push,0.32,7
11/07/2023,isometric,sprint,max velocity,98.6,7
17/07/2023,dynamic,jump,pre-load,0.589,10
19/07/2023,dynamic,sprint,acceleration,0.33,7
30/07/2023,isometric,upper body,push,76.6,10
01/08/2023,isometric,agility,deceleration,0.781,10
01/08/2023,isometric,sprint,max velocity,91.6,7
23/08/2023,isometric,agility,rotate,83.2,22
26/08/2023,isometric,jump,take off,88.9,22
29/08/2023,isometric,jump,take off,83.8,22
01/09/2023,isometric,upper body,grapple,77.5,10
13/09/2023,isometric,agility,deceleration,1.0395,10
15/09/2023,dynamic,sprint,acceleration,0.388,10
23/09/2023,dynamic,upper body,push,0.4305,7
01/10/2023,isometric,upper body,grapple,93.9,10
06/10/2023,dynamic,upper body,push,0.4305,7
10/10/2023,dynamic,sprint,max velocity,0.5705,7
14/10/2023,dynamic,jump,pre-load,0.587,22
17/10/2023,isometric,jump,pre-load,0.52,22
18/10/2023,isometric,upper body,push,0.67,22
01/11/2023,dynamic,agility,acceleration,0.4305,7
04/11/2023,isometric,jump,land,89.5,7
05/11/2023,dynamic,upper body,push,0.4305,7
09/11/2023,isometric,agility,rotate,96.1,10
24/11/2023,dynamic,upper body,push,0.4305,7
27/11/2023,dynamic,jump,land,0.69,22
06/12/2023,dynamic,agility,deceleration,0.87,22
11/12/2023,isometric,agility,acceleration,0.52,7
21/12/2023,isometric,agility,acceleration,0.52,7
27/12/2023,dynamic,jump,land,0.674,22
06/01/2024,isometric,upper body,push,0.664,7
12/01/2024,isometric,agility,acceleration,0.52,22
04/02/2024,dynamic,jump,take off,0.64,10
09/02/2024,dynamic,jump,take off,0.6225,22
06/03/2024,isometric,jump,take off,97.9,10
13/03/2024,dynamic,agility,acceleration,0.4445,7
14/03/2024,dynamic,upper body,push,0.4445,7
21/03/2024,isometric,agility,rotate,102.3,10
25/03/2024,dynamic,jump,pre-load,0.524,7
04/04/2024,isometric,jump,pre-load,0.52,10
05/04/2024,isometric,upper body,pull,91.3,7
10/04/2024,isometric,upper body,pull,102.7,22
12/04/2024,dynamic,upper body,push,0.43,7
13/04/2024,dynamic,jump,land,0.655,22
19/04/2024,isometric,upper body,pull,80.2,22
22/04/2024,dynamic,jump,take off,0.64,10
24/04/2024,isometric,agility,acceleration,0.52,7
28/04/2024,isometric,sprint,acceleration,0.52,10
03/05/2024,dynamic,sprint,acceleration,0.43,7
07/05/2024,isometric,agility,rotate,99.1,22
14/05/2024,isometric,jump,pre-load,0.49,22
15/05/2024,isometric,upper body,pull,94.6,7
16/05/2024,isometric,jump,land,92.3,7
29/05/2024,isometric,upper body,grapple,94.4,10
04/06/2024,isometric,upper body,grapple,80.4,7
04/06/2024,dynamic,sprint,acceleration,0.43,7
08/06/2024,dynamic,jump,pre-load,0.4655,7
01/07/2024,dynamic,jump,land,0.7215,10
08/07/2024,dynamic,jump,pre-load,0.5225,7
08/07/2024,dynamic,upper body,push,0.494,22
11/07/2024,isometric,jump,take off,0.42,10
18/07/2024,isometric,upper body,pull,78.0,10
20/07/2024,dynamic,upper body,pull,0.858,22
31/07/2024,isometric,jump,land,0.372,22
08/08/2024,isometric,agility,acceleration,0.7305,22
21/08/2024,isometric,sprint,max velocity,0.756,7
31/08/2024,dynamic,sprint,max velocity,0.6795,22
07/09/2024,isometric,agility,deceleration,0.94,7
16/09/2024,isometric,jump,pre-load,0.7275,10
17/09/2024,isometric,jump,pre-load,0.72,10
29/09/2024,dynamic,agility,acceleration,0.494,22
04/10/2024,dynamic,agility,deceleration,0.896,7
13/10/2024,dynamic,sprint,acceleration,0.498,22
20/10/2024,isometric,upper body,grapple,0.6595,22
07/11/2024,dynamic,agility,acceleration,0.486,7
07/11/2024,isometric,agility,deceleration,0.866,22
12/11/2024,dynamic,jump,land,0.666,10
16/11/2024,dynamic,sprint,acceleration,0.47,22
20/11/2024,dynamic,agility,deceleration,0.88,7
30/11/2024,dynamic,agility,deceleration,0.856,7
22/12/2024,isometric,agility,rotate,0.6705,10
17/01/2025,dynamic,upper body,push,0.5,7
19/01/2025,dynamic,upper body,push,0.5,7
26/01/2025,isometric,jump,take off,0.4495,10
27/01/2025,isometric,sprint,max velocity,0.749,22
07/02/2025,isometric,agility,deceleration,0.9595,10
12/02/2025,dynamic,agility,deceleration,0.87,22
16/02/2025,isometric,jump,pre-load,0.79,10
16/02/2025,dynamic,sprint,max velocity,0.651,22
18/02/2025,dynamic,sprint,acceleration,0.495,10
20/02/2025,isometric,upper body,grapple,0.6385,22
23/02/2025,isometric,agility,rotate,0.6385,10
24/02/2025,dynamic,jump,land,0.745,22
25/02/2025,dynamic,sprint,acceleration,0.495,10
27/02/2025,dynamic,agility,deceleration,0.87,7
01/03/2025,dynamic,sprint,max velocity,0.6495,22
10/03/2025,dynamic,sprint,acceleration,0.495,10
12/03/2025,isometric,jump,take off,0.3955,22
09/07/2023,isometric,agility,acceleration,107.1,22
11/07/2023,dynamic,agility,acceleration,0.32,10
15/07/2023,isometric,agility,rotate,88.3,22
17/07/2023,dynamic,sprint,max velocity,0.67,10
20/07/2023,isometric,upper body,grapple,88.2,7
30/07/2023,dynamic,jump,pre-load,0.589,22
11/08/2023,isometric,agility,rotate,79.0,7
16/08/2023,isometric,jump,pre-load,75.2,22
22/08/2023,isometric,jump,take off,89.1,22
23/08/2023,dynamic,upper body,pull,0.87,22
27/08/2023,isometric,jump,pre-load,0.52,10
29/08/2023,dynamic,agility,deceleration,0.877,7
01/09/2023,isometric,jump,land,86.6,22
03/10/2023,isometric,sprint,acceleration,0.52,10
06/10/2023,isometric,agility,deceleration,1.0395,22
12/10/2023,dynamic,upper body,pull,0.871,10
17/10/2023,isometric,jump,land,90.0,22
17/10/2023,dynamic,jump,pre-load,0.587,7
17/10/2023,isometric,sprint,max velocity,90.9,7
05/11/2023,isometric,agility,deceleration,1.038,22
28/11/2023,dynamic,agility,acceleration,0.4305,10
10/12/2023,dynamic,upper body,pull,0.87,22
18/12/2023,dynamic,jump,take off,0.6355,10
26/12/2023,isometric,upper body,grapple,114.9,22
31/12/2023,dynamic,upper body,push,0.426,10
03/01/2024,isometric,sprint,acceleration,0.52,7
07/01/2024,isometric,upper body,grapple,86.6,22
19/01/2024,dynamic,jump,take off,0.625,7
24/01/2024,isometric,upper body,grapple,105.8,7
27/01/2024,isometric,upper body,push,0.6385,22
28/01/2024,dynamic,agility,acceleration,0.4345,22
02/02/2024,dynamic,agility,deceleration,0.899,10
18/02/2024,isometric,agility,rotate,106.4,10
24/02/2024,isometric,upper body,grapple,97.5,7
29/02/2024,isometric,agility,deceleration,1.148,10
08/03/2024,isometric,agility,rotate,87.6,10
11/03/2024,dynamic,sprint,acceleration,0.4445,22
17/03/2024,dynamic,jump,take off,0.6525,10
21/03/2024,isometric,upper body,grapple,76.4,7
22/03/2024,isometric,jump,take off,94.8,10
25/03/2024,isometric,agility,deceleration,1.138,7
27/03/2024,isometric,agility,acceleration,0.52,22
05/04/2024,isometric,jump,take off,100.2,7
07/04/2024,isometric,sprint,acceleration,0.52,10
09/04/2024,dynamic,upper body,push,0.44,22
12/04/2024,dynamic,agility,deceleration,0.89,10
15/04/2024,isometric,upper body,grapple,107.5,22
15/04/2024,isometric,upper body,push,0.704,22
05/06/2024,isometric,sprint,acceleration,0.49,10
08/07/2024,isometric,agility,acceleration,0.7165,10
10/07/2024,isometric,agility,acceleration,0.7165,22
14/07/2024,isometric,upper body,grapple,-0.1675,22
19/07/2024,isometric,agility,acceleration,0.685,10
24/07/2024,isometric,agility,acceleration,0.685,7
05/08/2024,isometric,agility,deceleration,1.032,10
16/08/2024,dynamic,jump,take off,0.723,22
25/08/2024,dynamic,upper body,push,0.428,10
18/09/2024,isometric,jump,pre-load,0.72,7
29/09/2024,dynamic,jump,take off,0.6955,10
04/10/2024,isometric,sprint,acceleration,0.6925,22
09/10/2024,isometric,sprint,max velocity,0.6975,10
19/10/2024,isometric,agility,rotate,0.6595,22
22/10/2024,dynamic,upper body,push,0.486,22
23/10/2024,isometric,agility,acceleration,0.6935,10
25/10/2024,isometric,jump,land,0.444,22
17/11/2024,isometric,agility,rotate,0.6795,22
23/11/2024,dynamic,upper body,pull,0.88,7
25/11/2024,dynamic,upper body,push,0.47,7
25/11/2024,dynamic,sprint,max velocity,0.662,7
28/11/2024,isometric,agility,acceleration,0.79,7
02/12/2024,isometric,agility,acceleration,0.796,22
23/12/2024,isometric,agility,acceleration,0.796,10
29/12/2024,isometric,sprint,max velocity,0.67,22
31/12/2024,isometric,upper body,pull,0.46,22
09/01/2025,isometric,sprint,max velocity,0.749,22
14/01/2025,dynamic,jump,land,0.7365,10
02/03/2025,isometric,jump,pre-load,0.807,7
07/03/2025,isometric,agility,deceleration,0.96,22
11/03/2025,isometric,upper body,push,0.9555,22
06/07/2023,dynamic,sprint,acceleration,0.32,7
14/07/2023,dynamic,agility,deceleration,0.854,22
22/07/2023,dynamic,sprint,max velocity,0.67,10
23/07/2023,dynamic,agility,acceleration,0.33,22
26/07/2023,dynamic,sprint,max velocity,0.67,22
01/08/2023,dynamic,agility,acceleration,0.395,7
06/08/2023,isometric,sprint,acceleration,80.5,22
22/08/2023,dynamic,agility,deceleration,0.87,22
24/08/2023,dynamic,jump,land,0.69,10
02/09/2023,isometric,sprint,max velocity,87.6,7
09/09/2023,isometric,jump,land,80.6,7
10/09/2023,dynamic,agility,acceleration,0.388,10
11/09/2023,isometric,jump,take off,83.7,22
20/09/2023,dynamic,agility,acceleration,0.4305,7
22/09/2023,dynamic,sprint,max velocity,0.5845,7
25/09/2023,dynamic,jump,pre-load,0.49,22
27/09/2023,dynamic,jump,take off,0.6785,22
27/09/2023,isometric,sprint,acceleration,0.52,7
28/09/2023,dynamic,agility,deceleration,0.871,22
01/10/2023,dynamic,upper body,pull,0.871,7
28/10/2023,dynamic,agility,deceleration,0.871,22
11/11/2023,dynamic,jump,pre-load,0.4955,22
14/11/2023,isometric,agility,deceleration,1.038,10
03/12/2023,dynamic,agility,deceleration,0.87,22
10/12/2023,isometric,agility,deceleration,1.038,10
11/12/2023,dynamic,sprint,acceleration,0.43,22
14/12/2023,isometric,sprint,max velocity,96.6,7
15/12/2023,dynamic,upper body,push,0.43,7
20/12/2023,dynamic,sprint,max velocity,0.634,22
21/12/2023,dynamic,jump,pre-load,0.484,22
22/12/2023,dynamic,jump,land,0.674,7
24/12/2023,isometric,jump,pre-load,0.52,22
05/01/2024,dynamic,jump,land,0.674,10
21/01/2024,dynamic,sprint,max velocity,0.598,10
28/01/2024,isometric,agility,deceleration,1.138,10
03/02/2024,dynamic,upper body,push,0.4445,10
15/02/2024,isometric,upper body,pull,83.2,10
18/02/2024,isometric,sprint,max velocity,81.8,22
23/02/2024,dynamic,jump,land,0.668,22
24/02/2024,dynamic,jump,take off,0.64,10
26/02/2024,isometric,upper body,grapple,98.0,22
08/03/2024,isometric,jump,take off,94.5,22
10/03/2024,isometric,agility,rotate,93.5,10
01/04/2024,dynamic,jump,take off,0.6225,22
15/04/2024,isometric,sprint,acceleration,0.52,22
29/04/2024,isometric,agility,deceleration,1.1365,22
05/05/2024,isometric,upper body,grapple,83.5,10
18/05/2024,isometric,agility,acceleration,0.49,22
20/05/2024,dynamic,sprint,max velocity,0.625,7
30/05/2024,dynamic,upper body,pull,0.876,7
31/05/2024,isometric,sprint,acceleration,0.49,10
01/06/2024,dynamic,jump,pre-load,0.4655,7
07/06/2024,isometric,jump,pre-load,0.49,10
18/06/2024,dynamic,agility,acceleration,0.43,7
04/07/2024,dynamic,jump,pre-load,0.482,7
09/07/2024,isometric,agility,deceleration,1.135,7
14/07/2024,isometric,jump,pre-load,0.7165,10
15/07/2024,dynamic,jump,pre-load,0.5175,10
27/07/2024,isometric,upper body,pull,102.9,22
10/08/2024,isometric,upper body,grapple,0.384,10
03/09/2024,dynamic,sprint,max velocity,0.6795,7
04/09/2024,isometric,jump,pre-load,0.729,7
06/09/2024,isometric,upper body,pull,90.1,10
24/09/2024,dynamic,jump,land,0.648,10
02/10/2024,dynamic,upper body,pull,0.896,10
06/10/2024,dynamic,upper body,push,0.494,22
11/10/2024,dynamic,jump,pre-load,0.5375,7
13/10/2024,isometric,agility,acceleration,0.6925,22
14/10/2024,isometric,jump,take off,0.426,22
17/10/2024,dynamic,agility,deceleration,0.868,7
20/10/2024,isometric,jump,pre-load,0.698,7
24/10/2024,isometric,upper body,push,0.936,10
29/10/2024,dynamic,jump,pre-load,0.57,10
30/10/2024,isometric,upper body,grapple,0.6695,22
31/10/2024,dynamic,jump,pre-load,0.57,10
09/11/2024,isometric,sprint,max velocity,0.6325,10
12/11/2024,isometric,sprint,acceleration,0.7515,7
16/11/2024,isometric,sprint,acceleration,0.7515,7
17/11/2024,dynamic,jump,land,0.666,10
20/11/2024,isometric,upper body,push,0.936,7
04/12/2024,dynamic,jump,take off,0.69,10
10/12/2024,dynamic,jump,land,0.728,7
13/12/2024,isometric,upper body,pull,0.46,7
27/12/2024,dynamic,upper body,push,0.498,7
28/12/2024,dynamic,upper body,pull,0.876,7
29/12/2024,dynamic,upper body,pull,0.856,10
04/01/2025,dynamic,jump,take off,0.681,22
08/01/2025,isometric,jump,take off,0.46,7
08/01/2025,isometric,sprint,max velocity,0.749,10
09/01/2025,isometric,jump,pre-load,0.79,10
10/01/2025,isometric,upper body,pull,0.46,7
26/01/2025,isometric,upper body,grapple,0.6675,22
28/01/2025,dynamic,agility,deceleration,0.853,7
09/02/2025,dynamic,jump,take off,0.68,10
13/02/2025,isometric,agility,acceleration,0.79,22
14/02/2025,dynamic,agility,acceleration,0.495,10
15/02/2025,dynamic,sprint,acceleration,0.495,7
20/02/2025,dynamic,upper body,push,0.495,22
03/03/2025,dynamic,upper body,pull,0.87,10
05/03/2025,dynamic,agility,acceleration,0.495,10
06/03/2025,isometric,sprint,acceleration,0.787,10
10/03/2025,dynamic,jump,take off,0.68,7
11/03/2025,isometric,upper body,pull,0.851,22
07/07/2023,isometric,sprint,max velocity,113.8,7
17/07/2023,dynamic,sprint,acceleration,0.33,7
29/07/2023,dynamic,sprint,acceleration,0.395,7
12/08/2023,dynamic,upper body,push,0.358,22
22/08/2023,dynamic,upper body,push,0.412,7
26/08/2023,isometric,agility,rotate,91.6,7
26/08/2023,dynamic,sprint,acceleration,0.388,7
09/09/2023,isometric,jump,pre-load,0.52,7
14/09/2023,isometric,agility,deceleration,1.0395,10
15/09/2023,isometric,jump,take off,66.7,7
18/09/2023,isometric,agility,rotate,66.2,10
21/09/2023,dynamic,jump,land,0.69,7
28/09/2023,isometric,jump,take off,96.2,22
01/10/2023,isometric,sprint,acceleration,0.52,10
05/10/2023,isometric,agility,acceleration,0.52,10
12/10/2023,dynamic,agility,acceleration,0.4305,10
30/10/2023,isometric,sprint,acceleration,0.52,10
12/11/2023,dynamic,upper body,push,0.431,22
15/11/2023,dynamic,sprint,max velocity,0.6475,7
19/11/2023,dynamic,jump,land,0.69,10
21/11/2023,dynamic,jump,land,0.69,22
22/11/2023,isometric,sprint,max velocity,103.0,10
28/11/2023,dynamic,jump,land,0.69,7
28/11/2023,isometric,jump,land,82.2,10
28/11/2023,isometric,agility,deceleration,1.038,22
15/12/2023,isometric,jump,pre-load,0.52,7
29/12/2023,isometric,sprint,max velocity,111.0,22
04/01/2024,isometric,sprint,max velocity,106.6,7
05/01/2024,dynamic,upper body,pull,0.87,7
06/01/2024,dynamic,jump,land,0.674,7
11/01/2024,isometric,agility,rotate,92.1,10
12/01/2024,dynamic,upper body,pull,0.879,22
17/01/2024,isometric,sprint,max velocity,95.4,22
20/01/2024,isometric,upper body,pull,98.9,22
26/01/2024,isometric,jump,land,108.9,7
15/02/2024,isometric,upper body,push,0.772,10
28/02/2024,isometric,upper body,push,0.704,7
29/02/2024,dynamic,upper body,pull,0.89,22
07/03/2024,dynamic,agility,deceleration,0.89,10
11/03/2024,isometric,sprint,max velocity,96.8,10
19/03/2024,dynamic,sprint,acceleration,0.4445,10
20/03/2024,isometric,agility,acceleration,0.52,22
27/03/2024,isometric,upper body,push,0.704,10
31/03/2024,isometric,agility,deceleration,1.138,10
12/04/2024,dynamic,upper body,pull,0.89,7
20/04/2024,isometric,jump,pre-load,0.52,7
26/04/2024,isometric,jump,land,91.9,10
27/04/2024,isometric,sprint,acceleration,0.52,10
29/04/2024,isometric,jump,land,96.7,7
30/04/2024,dynamic,agility,deceleration,0.89,7
09/05/2024,isometric,upper body,pull,95.4,7
16/05/2024,isometric,agility,acceleration,0.49,22
21/05/2024,dynamic,upper body,pull,0.876,22
24/05/2024,dynamic,jump,pre-load,0.4655,7
24/05/2024,dynamic,upper body,pull,0.876,10
30/05/2024,isometric,sprint,acceleration,0.49,7
15/06/2024,dynamic,jump,take off,0.62,22
18/06/2024,isometric,agility,deceleration,1.1365,10
04/07/2024,dynamic,sprint,max velocity,0.625,22
06/07/2024,dynamic,agility,deceleration,0.89,10
26/07/2024,isometric,upper body,pull,99.2,22
28/07/2024,isometric,upper body,pull,74.3,10
01/08/2024,isometric,upper body,push,0.96,10
05/08/2024,isometric,jump,land,0.372,10
07/08/2024,dynamic,jump,land,0.652,10
18/08/2024,isometric,jump,take off,0.363,22
19/08/2024,dynamic,jump,take off,0.723,22
22/08/2024,isometric,jump,take off,0.363,10
24/08/2024,isometric,jump,pre-load,0.7305,10
25/08/2024,isometric,agility,deceleration,0.953,22
04/09/2024,isometric,jump,land,0.33,10
10/09/2024,dynamic,agility,acceleration,0.4955,10
13/09/2024,isometric,sprint,acceleration,0.7275,10
17/09/2024,isometric,upper body,pull,93.2,7
25/09/2024,isometric,upper body,push,0.936,10
28/09/2024,isometric,jump,take off,0.426,7
02/10/2024,isometric,agility,acceleration,0.6925,10
04/10/2024,dynamic,sprint,max velocity,0.67,22
06/10/2024,isometric,jump,pre-load,0.6925,7
09/10/2024,dynamic,sprint,acceleration,0.498,7
13/10/2024,dynamic,agility,acceleration,0.498,10
20/10/2024,isometric,agility,rotate,0.6595,10
27/10/2024,dynamic,jump,pre-load,0.57,7
13/11/2024,isometric,upper body,grapple,0.6795,22
23/11/2024,isometric,sprint,acceleration,0.799,22
25/11/2024,isometric,upper body,pull,94.6,10
02/12/2024,dynamic,upper body,pull,0.856,22
14/12/2024,isometric,agility,rotate,0.68,22
29/12/2024,isometric,jump,pre-load,0.79,10
11/01/2025,isometric,jump,land,0.46,22
15/01/2025,isometric,upper body,grapple,0.6675,10
22/01/2025,dynamic,upper body,pull,0.853,7
26/01/2025,isometric,jump,pre-load,0.7475,10
26/01/2025,dynamic,agility,acceleration,0.5,7
10/02/2025,isometric,jump,take off,0.39,7
11/02/2025,isometric,upper body,push,0.96,22
14/02/2025,isometric,agility,rotate,0.6415,22
23/02/2025,isometric,sprint,acceleration,0.79,22
01/03/2025,isometric,jump,pre-load,0.807,10
15/07/2023,isometric,jump,pre-load,89.3,22
19/07/2023,dynamic,upper body,pull,0.8525,7
23/07/2023,dynamic,sprint,acceleration,0.33,22
28/07/2023,isometric,sprint,acceleration,97.8,22
30/07/2023,isometric,sprint,acceleration,109.2,10
04/08/2023,isometric,upper body,push,91.4,10
05/08/2023,isometric,jump,take off,96.9,7
10/08/2023,dynamic,upper body,pull,0.8695,10
17/08/2023,isometric,agility,rotate,106.1,22
25/08/2023,dynamic,jump,land,0.69,10
28/08/2023,dynamic,jump,pre-load,0.62,7
15/09/2023,isometric,agility,rotate,91.6,22
09/10/2023,dynamic,jump,take off,0.6755,7
12/10/2023,isometric,jump,pre-load,0.52,10
20/10/2023,dynamic,upper body,push,0.4305,10
22/10/2023,isometric,sprint,acceleration,0.52,7
24/10/2023,isometric,upper body,pull,81.1,22
13/11/2023,dynamic,jump,pre-load,0.4955,10
22/11/2023,dynamic,sprint,max velocity,0.6475,10
26/11/2023,isometric,jump,land,96.2,22
03/12/2023,dynamic,sprint,acceleration,0.43,10
11/12/2023,dynamic,upper body,pull,0.87,7
12/12/2023,dynamic,sprint,acceleration,0.43,10
13/12/2023,isometric,upper body,pull,68.0,10
18/12/2023,isometric,upper body,grapple,67.0,22
18/12/2023,dynamic,sprint,acceleration,0.43,7
22/12/2023,isometric,agility,acceleration,0.52,22
30/12/2023,isometric,upper body,push,0.664,10
01/01/2024,isometric,agility,rotate,93.3,10
15/01/2024,isometric,jump,pre-load,0.52,22
16/01/2024,dynamic,jump,take off,0.625,22
19/01/2024,dynamic,agility,acceleration,0.43,22
19/01/2024,dynamic,sprint,max velocity,0.598,7
23/01/2024,dynamic,upper body,pull,0.879,10
29/01/2024,isometric,jump,take off,66.6,22
01/02/2024,dynamic,upper body,push,0.4445,10
05/02/2024,isometric,sprint,max velocity,76.8,7
07/02/2024,isometric,upper body,grapple,86.2,7
07/02/2024,isometric,upper body,pull,82.8,7
11/02/2024,dynamic,sprint,max velocity,0.637,7
15/02/2024,isometric,agility,acceleration,0.52,10
18/02/2024,isometric,jump,take off,88.5,7
21/02/2024,isometric,upper body,grapple,101.1,7
26/02/2024,dynamic,upper body,push,0.4445,22
16/03/2024,isometric,upper body,grapple,92.4,7
19/03/2024,isometric,sprint,acceleration,0.52,22
23/03/2024,dynamic,agility,deceleration,0.89,7
03/04/2024,dynamic,sprint,acceleration,0.44,7
11/04/2024,isometric,agility,deceleration,1.1365,22
19/04/2024,dynamic,jump,pre-load,0.53,7
05/05/2024,dynamic,upper body,pull,0.89,10
25/05/2024,isometric,jump,pre-load,0.49,10
10/06/2024,isometric,jump,land,81.6,7
12/06/2024,isometric,agility,deceleration,1.1365,10
16/06/2024,isometric,upper body,grapple,103.5,22
29/06/2024,isometric,upper body,push,0.704,7
03/07/2024,dynamic,jump,land,0.652,7
04/07/2024,dynamic,agility,deceleration,0.89,22
19/07/2024,isometric,jump,take off,0.3975,22
22/07/2024,isometric,sprint,acceleration,0.685,22
23/07/2024,isometric,upper body,grapple,0.278,7
24/07/2024,dynamic,jump,take off,0.7245,22
25/07/2024,isometric,upper body,grapple,0.278,22
26/07/2024,dynamic,jump,land,0.675,10
03/08/2024,isometric,jump,pre-load,0.7305,10
07/08/2024,isometric,agility,deceleration,1.032,7
10/08/2024,isometric,jump,land,0.363,10
18/08/2024,dynamic,upper body,push,0.428,10
28/08/2024,dynamic,jump,pre-load,0.5095,22
29/08/2024,dynamic,sprint,max velocity,0.6795,22
31/08/2024,isometric,sprint,acceleration,0.731,10
05/09/2024,isometric,agility,rotate,0.6405,10
06/09/2024,isometric,jump,land,0.33,10
02/10/2024,dynamic,sprint,acceleration,0.494,7
15/10/2024,dynamic,jump,pre-load,0.5375,7
30/10/2024,dynamic,upper body,pull,0.88,7
09/11/2024,dynamic,jump,land,0.666,10
20/11/2024,dynamic,upper body,push,0.47,10
24/11/2024,dynamic,agility,deceleration,0.88,7
02/12/2024,dynamic,jump,pre-load,0.557,7
06/12/2024,dynamic,sprint,max velocity,0.662,10
07/12/2024,isometric,agility,deceleration,0.8655,22
19/12/2024,isometric,agility,acceleration,0.796,7
20/12/2024,isometric,agility,acceleration,0.796,10
03/01/2025,dynamic,agility,acceleration,0.498,10
05/01/2025,isometric,upper body,pull,0.46,22
14/02/2025,isometric,upper body,pull,0.805,10
19/02/2025,isometric,jump,take off,0.3955,10
23/02/2025,isometric,jump,land,0.3955,7
24/02/2025,dynamic,sprint,max velocity,0.6495,7
27/02/2025,dynamic,jump,pre-load,0.5225,22
08/03/2025,isometric,jump,pre-load,0.787,22
07/07/2023,isometric,agility,rotate,75.7,10
10/07/2023,isometric,upper body,push,92.2,7
17/07/2023,isometric,jump,take off,74.6,22
18/07/2023,dynamic,agility,acceleration,0.33,22
24/07/2023,dynamic,jump,pre-load,0.589,22
25/07/2023,dynamic,agility,deceleration,0.8525,10
02/08/2023,isometric,sprint,max velocity,92.5,7
23/08/2023,dynamic,agility,acceleration,0.412,22
23/08/2023,isometric,sprint,max velocity,86.8,7
24/08/2023,dynamic,upper body,push,0.4,22
29/08/2023,dynamic,jump,pre-load,0.62,22
08/09/2023,dynamic,sprint,acceleration,0.388,7
